Date,Price,Open,High,Low
"Nov 15, 09",1.4861,1.4924,1.5017,1.4798
"Nov 22, 09",1.4967,1.486,1.5146,1.4828
"Nov 29, 09",1.4851,1.501,1.5141,1.4819
"Dec 6, 09",1.4623,1.4853,1.4907,1.4585
"Dec 13, 09",1.4343,1.4625,1.4686,1.4259
"Dec 20, 09",1.4397,1.4305,1.4436,1.4217
"Dec 27, 09",1.4326,1.4378,1.4461,1.4274
"Jan 3, 10",1.4413,1.4324,1.4484,1.4257
"Jan 10, 10",1.4385,1.4433,1.4585,1.4338
"Jan 17, 10",1.4138,1.4339,1.4414,1.4026
"Jan 24, 10",1.3864,1.416,1.4198,1.3861
"Jan 31, 10",1.3664,1.3864,1.4028,1.3586
"Feb 7, 10",1.3618,1.3666,1.3841,1.3532
"Feb 14, 10",1.3615,1.3613,1.379,1.3443
"Feb 21, 10",1.3626,1.3638,1.3693,1.3451
"Feb 28, 10",1.3622,1.3625,1.3737,1.3433
"Mar 7, 10",1.3763,1.363,1.3798,1.3535
"Mar 14, 10",1.3534,1.3777,1.382,1.3502
"Mar 21, 10",1.3413,1.3527,1.3572,1.3268
"Mar 28, 10",1.3504,1.3488,1.3593,1.3384
"Apr 4, 10",1.3499,1.3491,1.3541,1.3281
"Apr 11, 10",1.3499,1.3623,1.3694,1.3473
"Apr 18, 10",1.3386,1.348,1.3525,1.3202
"Apr 25, 10",1.3298,1.3347,1.3416,1.3115
"May 2, 10",1.2762,1.3343,1.3343,1.2523
"May 9, 10",1.2363,1.2935,1.3096,1.2355
"May 16, 10",1.2573,1.2352,1.2675,1.2145
"May 23, 10",1.227,1.2548,1.2562,1.2155
"May 30, 10",1.1976,1.2276,1.2356,1.1956
"Jun 6, 10",1.2113,1.1948,1.2155,1.1878
"Jun 13, 10",1.2387,1.2127,1.2419,1.2116
"Jun 20, 10",1.2377,1.244,1.247,1.221
"Jun 27, 10",1.2563,1.2374,1.2616,1.2152
"Jul 4, 10",1.2637,1.2559,1.2725,1.2481
"Jul 11, 10",1.2933,1.2642,1.301,1.2523
"Jul 18, 10",1.2907,1.2896,1.3031,1.2733
"Jul 25, 10",1.3048,1.2903,1.3109,1.2877
"Aug 1, 10",1.3285,1.3063,1.3336,1.3054
"Aug 8, 10",1.2752,1.3292,1.331,1.275
"Aug 15, 10",1.2708,1.2761,1.2926,1.2664
"Aug 22, 10",1.2765,1.2706,1.2781,1.2587
"Aug 29, 10",1.2896,1.2768,1.29,1.2626
"Sep 5, 10",1.268,1.289,1.2921,1.2645
"Sep 12, 10",1.3048,1.2709,1.3162,1.2704
"Sep 19, 10",1.3491,1.3055,1.3498,1.3028
"Sep 26, 10",1.3792,1.3482,1.3796,1.3383
"Oct 3, 10",1.3943,1.3793,1.4031,1.3638
"Oct 10, 10",1.3979,1.3995,1.416,1.3774
"Oct 17, 10",1.3952,1.3977,1.4053,1.3699
"Oct 24, 10",1.395,1.3958,1.4083,1.3735
"Oct 31, 10",1.4034,1.3964,1.4284,1.3863
"Nov 7, 10",1.3693,1.4053,1.4087,1.3573
"Nov 14, 10",1.3687,1.3712,1.3752,1.3449
"Nov 21, 10",1.3243,1.3717,1.3789,1.3199
"Nov 28, 10",1.3415,1.3285,1.3418,1.2965
"Dec 5, 10",1.3234,1.3383,1.3422,1.3164
"Dec 12, 10",1.3182,1.3207,1.35,1.3133
"Dec 19, 10",1.3118,1.3182,1.3205,1.3056
"Dec 26, 10",1.3379,1.3116,1.3427,1.3073
"Jan 2, 11",1.2919,1.3348,1.3436,1.2906
"Jan 9, 11",1.3377,1.2882,1.3458,1.2873
"Jan 16, 11",1.3618,1.3384,1.3629,1.3246
"Jan 23, 11",1.3613,1.3638,1.376,1.3537
"Jan 30, 11",1.3586,1.3599,1.3862,1.3542
"Feb 6, 11",1.3549,1.3564,1.3747,1.3498
"Feb 13, 11",1.3697,1.351,1.3718,1.3428
"Feb 20, 11",1.3751,1.3702,1.3838,1.3525
"Feb 27, 11",1.3985,1.3759,1.4009,1.3712
"Mar 6, 11",1.391,1.3998,1.404,1.3752
"Mar 13, 11",1.4179,1.3964,1.4187,1.3855
"Mar 20, 11",1.4084,1.4184,1.4252,1.4052
"Mar 27, 11",1.4231,1.4048,1.4248,1.4022
"Apr 3, 11",1.4481,1.4226,1.4491,1.4152
"Apr 10, 11",1.4432,1.4456,1.4523,1.4365
"Apr 17, 11",1.4556,1.4418,1.465,1.4156
"Apr 24, 11",1.4802,1.4561,1.4884,1.4495
"May 1, 11",1.431,1.4825,1.4941,1.431
"May 8, 11",1.4121,1.437,1.4444,1.4067
"May 15, 11",1.4155,1.4081,1.4348,1.4049
"May 22, 11",1.4324,1.4132,1.4325,1.3971
"May 29, 11",1.4637,1.4315,1.4645,1.4257
"Jun 5, 11",1.4348,1.463,1.4699,1.4323
"Jun 12, 11",1.4311,1.4331,1.4501,1.4074
"Jun 19, 11",1.4193,1.4275,1.4444,1.4128
"Jun 26, 11",1.4525,1.4193,1.4554,1.4104
"Jul 3, 11",1.427,1.4543,1.458,1.4207
"Jul 10, 11",1.4153,1.4218,1.4284,1.3838
"Jul 17, 11",1.4356,1.4114,1.4441,1.4012
"Jul 24, 11",1.4396,1.4397,1.4537,1.4229
"Jul 31, 11",1.4282,1.4359,1.4455,1.4056
"Aug 7, 11",1.4249,1.4386,1.4402,1.4103
"Aug 14, 11",1.4398,1.4261,1.452,1.4259
"Aug 21, 11",1.4499,1.4376,1.4503,1.4327
"Aug 28, 11",1.4205,1.4498,1.4551,1.4184
"Sep 4, 11",1.3653,1.4167,1.4277,1.3628
"Sep 11, 11",1.38,1.357,1.3939,1.3502
"Sep 18, 11",1.3498,1.3673,1.3791,1.3385
"Sep 25, 11",1.3386,1.3509,1.3691,1.3363
"Oct 2, 11",1.3377,1.3338,1.3527,1.3147
"Oct 9, 11",1.3877,1.3397,1.3896,1.3378
"Oct 16, 11",1.3896,1.3885,1.3916,1.3653
"Oct 23, 11",1.4148,1.3866,1.4249,1.3798
"Oct 30, 11",1.3796,1.415,1.4171,1.361
"Nov 6, 11",1.3752,1.3838,1.3861,1.3483
"Nov 13, 11",1.351,1.3807,1.3813,1.3422
"Nov 20, 11",1.3234,1.3506,1.3569,1.3211
"Nov 27, 11",1.3403,1.3318,1.3549,1.3258
"Dec 4, 11",1.3375,1.3438,1.3489,1.3283
"Dec 11, 11",1.3035,1.3384,1.3388,1.2947
"Dec 18, 11",1.3043,1.3045,1.3199,1.2982
"Dec 25, 11",1.2948,1.3047,1.3085,1.2858
"Jan 1, 12",1.2721,1.2938,1.3077,1.2696
"Jan 8, 12",1.2677,1.2691,1.2879,1.2624
"Jan 15, 12",1.2938,1.2637,1.2986,1.2624
"Jan 22, 12",1.3226,1.2872,1.323,1.2872
"Jan 29, 12",1.3144,1.3224,1.323,1.3024
"Feb 5, 12",1.3175,1.3113,1.3323,1.3028
"Feb 12, 12",1.3152,1.3207,1.3283,1.2973
"Feb 19, 12",1.3457,1.3187,1.3489,1.3175
"Feb 26, 12",1.3203,1.3466,1.3487,1.3188
"Mar 4, 12",1.3114,1.319,1.3291,1.3096
"Mar 11, 12",1.3175,1.3112,1.3193,1.3004
"Mar 18, 12",1.3273,1.3181,1.3295,1.3135
"Mar 25, 12",1.3344,1.3272,1.3386,1.3191
"Apr 1, 12",1.3096,1.336,1.3382,1.3035
"Apr 8, 12",1.3077,1.3102,1.3215,1.3034
"Apr 15, 12",1.3224,1.3068,1.3228,1.2995
"Apr 22, 12",1.3255,1.3194,1.3273,1.3106
"Apr 29, 12",1.3083,1.3241,1.3285,1.3079
"May 6, 12",1.2917,1.303,1.3067,1.2905
"May 13, 12",1.2783,1.2882,1.2905,1.2641
"May 20, 12",1.2517,1.2783,1.2826,1.2497
"May 27, 12",1.2435,1.2569,1.2626,1.2288
"Jun 3, 12",1.2517,1.2433,1.2626,1.2386
"Jun 10, 12",1.2638,1.2659,1.267,1.2443
"Jun 17, 12",1.257,1.2722,1.2749,1.252
"Jun 24, 12",1.266,1.2553,1.2694,1.2407
"Jul 1, 12",1.2288,1.2672,1.2674,1.226
"Jul 8, 12",1.2252,1.2271,1.2334,1.2161
"Jul 15, 12",1.2157,1.2255,1.2322,1.2144
"Jul 22, 12",1.2319,1.2119,1.239,1.2041
"Jul 29, 12",1.2387,1.2342,1.2406,1.2134
"Aug 5, 12",1.229,1.2378,1.2443,1.2239
"Aug 12, 12",1.2334,1.228,1.2386,1.2255
"Aug 19, 12",1.2513,1.2344,1.259,1.2294
"Aug 26, 12",1.2577,1.2512,1.2638,1.2465
"Sep 2, 12",1.2816,1.2567,1.2818,1.2501
"Sep 9, 12",1.3127,1.2809,1.3171,1.2755
"Sep 16, 12",1.298,1.3127,1.3169,1.2919
"Sep 23, 12",1.2858,1.298,1.299,1.2828
"Sep 30, 12",1.3034,1.2859,1.3072,1.2803
"Oct 7, 12",1.295,1.303,1.3035,1.2824
"Oct 14, 12",1.3022,1.2956,1.314,1.289
"Oct 21, 12",1.2942,1.3014,1.3085,1.2883
"Oct 28, 12",1.2837,1.2948,1.3022,1.282
"Nov 4, 12",1.2709,1.2812,1.2877,1.2689
"Nov 11, 12",1.2744,1.2712,1.2803,1.2662
"Nov 18, 12",1.2976,1.2738,1.2992,1.2729
"Nov 25, 12",1.2986,1.2973,1.3028,1.2879
"Dec 2, 12",1.2927,1.2986,1.3129,1.2881
"Dec 9, 12",1.3163,1.2902,1.3175,1.288
"Dec 16, 12",1.3188,1.319,1.331,1.3144
"Dec 23, 12",1.3216,1.319,1.3287,1.3167
"Dec 30, 12",1.3069,1.3213,1.3301,1.2999
"Jan 6, 13",1.3344,1.3071,1.3366,1.3017
"Jan 13, 13",1.3319,1.3342,1.3405,1.3258
"Jan 20, 13",1.3462,1.3321,1.3481,1.3264
"Jan 27, 13",1.364,1.3464,1.3712,1.3414
"Feb 3, 13",1.3365,1.3643,1.366,1.3354
"Feb 10, 13",1.3363,1.3359,1.3521,1.3307
"Feb 17, 13",1.3191,1.3359,1.3436,1.3147
"Feb 24, 13",1.3021,1.3176,1.3319,1.2967
"Mar 3, 13",1.3006,1.3018,1.3136,1.2957
"Mar 10, 13",1.3076,1.2999,1.3109,1.2912
"Mar 17, 13",1.2988,1.2959,1.3011,1.2846
"Mar 24, 13",1.282,1.2974,1.3051,1.2752
"Mar 31, 13",1.2991,1.2814,1.304,1.2747
"Apr 7, 13",1.3112,1.2974,1.3139,1.2962
"Apr 14, 13",1.3052,1.3132,1.3202,1.3001
"Apr 21, 13",1.3029,1.308,1.3095,1.2956
"Apr 28, 13",1.3115,1.3031,1.3244,1.3028
"May 5, 13",1.2993,1.3114,1.3195,1.2936
"May 12, 13",1.2839,1.2957,1.3029,1.2796
"May 19, 13",1.2932,1.2812,1.3,1.2805
"May 26, 13",1.2999,1.2929,1.3065,1.2841
"Jun 2, 13",1.3223,1.2983,1.3305,1.2955
"Jun 9, 13",1.3347,1.3207,1.3391,1.3177
"Jun 16, 13",1.3123,1.3341,1.3416,1.3099
"Jun 23, 13",1.301,1.3117,1.3152,1.2985
"Jun 30, 13",1.2832,1.3007,1.3079,1.2807
"Jul 7, 13",1.3068,1.2826,1.3203,1.2756
"Jul 14, 13",1.3142,1.3066,1.3176,1.2994
"Jul 21, 13",1.3279,1.314,1.3297,1.3129
"Jul 28, 13",1.3282,1.3275,1.3345,1.319
"Aug 4, 13",1.3343,1.3274,1.3401,1.3232
"Aug 11, 13",1.333,1.3338,1.3379,1.3205
"Aug 18, 13",1.3382,1.3327,1.3453,1.3298
"Aug 25, 13",1.3222,1.3383,1.3401,1.3175
"Sep 1, 13",1.318,1.3233,1.3237,1.3104
"Sep 8, 13",1.3294,1.317,1.3326,1.316
"Sep 15, 13",1.3524,1.3307,1.357,1.3297
"Sep 22, 13",1.3522,1.3546,1.3565,1.3461
"Sep 29, 13",1.3558,1.3479,1.3646,1.3467
"Oct 6, 13",1.3542,1.3556,1.3608,1.3486
"Oct 13, 13",1.3684,1.3543,1.3703,1.3473
"Oct 20, 13",1.3805,1.3687,1.3833,1.365
"Oct 27, 13",1.3487,1.3804,1.382,1.348
"Nov 3, 13",1.3372,1.3489,1.3549,1.3296
"Nov 10, 13",1.3496,1.3361,1.3505,1.3343
"Nov 17, 13",1.3558,1.35,1.3578,1.3398
"Nov 24, 13",1.3591,1.355,1.3622,1.3491
"Dec 1, 13",1.3705,1.3591,1.3708,1.3524
"Dec 8, 13",1.3743,1.3721,1.3812,1.3694
"Dec 15, 13",1.3672,1.374,1.3812,1.3623
"Dec 22, 13",1.3742,1.367,1.3893,1.3654
"Dec 29, 13",1.3588,1.3743,1.3821,1.3582
"Jan 5, 14",1.367,1.3591,1.3689,1.355
"Jan 12, 14",1.3541,1.367,1.37,1.3517
"Jan 19, 14",1.3678,1.3543,1.3741,1.3509
"Jan 26, 14",1.3487,1.3677,1.3718,1.348
"Feb 2, 14",1.3635,1.3494,1.3642,1.3477
"Feb 9, 14",1.3693,1.3634,1.3718,1.3563
"Feb 16, 14",1.374,1.3688,1.3776,1.3687
"Feb 23, 14",1.3802,1.3735,1.3824,1.3641
"Mar 2, 14",1.3878,1.3787,1.3917,1.3708
"Mar 9, 14",1.3915,1.3875,1.3967,1.3833
"Mar 16, 14",1.3794,1.3912,1.3949,1.3751
"Mar 23, 14",1.3753,1.3792,1.3876,1.3705
"Mar 30, 14",1.3703,1.3755,1.382,1.3672
"Apr 6, 14",1.3885,1.3697,1.3907,1.369
"Apr 13, 14",1.3815,1.3838,1.3867,1.379
"Apr 20, 14",1.3833,1.381,1.3856,1.3785
"Apr 27, 14",1.387,1.3834,1.3889,1.3776
"May 4, 14",1.376,1.3873,1.3995,1.3745
"May 11, 14",1.3695,1.3752,1.3777,1.365
"May 18, 14",1.3634,1.3702,1.3735,1.3615
"May 25, 14",1.3631,1.3626,1.3669,1.3585
"Jun 1, 14",1.3642,1.3635,1.3679,1.3503
"Jun 8, 14",1.3542,1.3643,1.3668,1.3511
"Jun 15, 14",1.3599,1.3535,1.3643,1.3513
"Jun 22, 14",1.3649,1.3595,1.3653,1.3574
"Jun 29, 14",1.3596,1.3647,1.3702,1.3586
"Jul 6, 14",1.3609,1.3596,1.3651,1.3575
"Jul 13, 14",1.3524,1.3601,1.3639,1.3491
"Jul 20, 14",1.3432,1.3529,1.3552,1.3422
"Jul 27, 14",1.3431,1.3432,1.3445,1.3366
"Aug 3, 14",1.3411,1.3427,1.3434,1.3332
"Aug 10, 14",1.3399,1.3401,1.3416,1.3336
"Aug 17, 14",1.3243,1.3394,1.34,1.322
"Aug 24, 14",1.3133,1.3218,1.322,1.3131
"Aug 31, 14",1.2951,1.3137,1.316,1.2918
"Sep 7, 14",1.2965,1.2943,1.298,1.2859
"Sep 14, 14",1.2829,1.2976,1.2995,1.2827
"Sep 21, 14",1.2685,1.2828,1.2902,1.2676
"Sep 28, 14",1.2517,1.2685,1.2716,1.25
"Oct 5, 14",1.2628,1.2508,1.2792,1.2503
"Oct 12, 14",1.2763,1.2637,1.2887,1.2619
"Oct 19, 14",1.2671,1.2757,1.2839,1.2612
"Oct 26, 14",1.2525,1.2682,1.2771,1.2485
"Nov 2, 14",1.2454,1.2517,1.2579,1.236
"Nov 9, 14",1.2524,1.2453,1.2549,1.2395
"Nov 16, 14",1.239,1.2528,1.2602,1.2375
"Nov 23, 14",1.2452,1.2378,1.2533,1.2359
"Nov 30, 14",1.2286,1.2455,1.2507,1.2271
"Dec 7, 14",1.2462,1.2279,1.2496,1.2247
"Dec 14, 14",1.2228,1.2464,1.2571,1.2222
"Dec 21, 14",1.2176,1.2227,1.2273,1.2166
"Dec 28, 14",1.2003,1.2184,1.2223,1.2002
"Jan 4, 15",1.1842,1.2004,1.2008,1.1756
"Jan 11, 15",1.1569,1.184,1.1872,1.1462
"Jan 18, 15",1.1208,1.155,1.1675,1.1114
"Jan 25, 15",1.1288,1.1186,1.1424,1.11
"Feb 1, 15",1.1316,1.1284,1.1535,1.128
"Feb 8, 15",1.1385,1.1317,1.1443,1.1272
"Feb 15, 15",1.1381,1.1386,1.1453,1.128
"Feb 22, 15",1.1196,1.1384,1.1415,1.1178
"Mar 1, 15",1.0844,1.1187,1.1241,1.0841
"Mar 8, 15",1.0495,1.0832,1.0908,1.0462
"Mar 15, 15",1.0822,1.0494,1.1033,1.0458
"Mar 22, 15",1.0889,1.0837,1.1053,1.0768
"Mar 29, 15",1.0978,1.0889,1.1028,1.0714
"Apr 5, 15",1.0604,1.099,1.1037,1.0569
"Apr 12, 15",1.0807,1.0602,1.085,1.0521
"Apr 19, 15",1.0874,1.0822,1.0901,1.066
"Apr 26, 15",1.1201,1.0872,1.1291,1.0819
"May 3, 15",1.1204,1.1201,1.1393,1.1066
"May 10, 15",1.1453,1.1198,1.1467,1.1132
"May 17, 15",1.1018,1.1442,1.1451,1.1003
"May 24, 15",1.0988,1.1004,1.101,1.0819
"May 31, 15",1.1113,1.0988,1.1381,1.0888
"Jun 7, 15",1.1269,1.1114,1.1385,1.1081
"Jun 14, 15",1.1353,1.1226,1.1437,1.1189
"Jun 21, 15",1.1166,1.1364,1.1412,1.1131
"Jun 28, 15",1.1114,1.1032,1.128,1.0955
"Jul 5, 15",1.1164,1.0994,1.1218,1.0917
"Jul 12, 15",1.083,1.1106,1.1198,1.0828
"Jul 19, 15",1.0984,1.0833,1.102,1.081
"Jul 26, 15",1.0988,1.0972,1.1129,1.0893
"Aug 2, 15",1.0969,1.0972,1.0998,1.0851
"Aug 9, 15",1.1106,1.0966,1.1213,1.0924
"Aug 16, 15",1.1389,1.1107,1.1394,1.1018
"Aug 23, 15",1.1179,1.1361,1.1711,1.1156
"Aug 30, 15",1.1147,1.1174,1.1332,1.1087
"Sep 6, 15",1.134,1.1158,1.1349,1.112
"Sep 13, 15",1.1305,1.1336,1.146,1.1213
"Sep 20, 15",1.1195,1.1281,1.1329,1.1103
"Sep 27, 15",1.1211,1.1195,1.1319,1.1135
"Oct 4, 15",1.1358,1.1223,1.1391,1.1174
"Oct 11, 15",1.1346,1.1355,1.1496,1.1334
"Oct 18, 15",1.1018,1.1353,1.1389,1.0997
"Oct 25, 15",1.1005,1.1007,1.1096,1.0895
"Nov 1, 15",1.0741,1.1016,1.1054,1.0709
"Nov 8, 15",1.0779,1.0737,1.0831,1.0675
"Nov 15, 15",1.0646,1.0752,1.0781,1.0618
"Nov 22, 15",1.0593,1.0648,1.0692,1.0568
"Nov 29, 15",1.0886,1.0592,1.0982,1.054
"Dec 6, 15",1.099,1.086,1.1043,1.0796
"Dec 13, 15",1.0868,1.0986,1.1062,1.0802
"Dec 20, 15",1.0977,1.0865,1.0988,1.085
"Dec 27, 15",1.086,1.0964,1.0994,1.0845
"Jan 3, 16",1.0932,1.0858,1.0949,1.0712
"Jan 10, 16",1.0917,1.0925,1.0987,1.0806
"Jan 17, 16",1.0797,1.0919,1.0978,1.078
"Jan 24, 16",1.0837,1.0799,1.097,1.0789
"Jan 31, 16",1.1159,1.0834,1.1246,1.0815
"Feb 7, 16",1.126,1.1159,1.1378,1.1086
"Feb 14, 16",1.1135,1.1252,1.1254,1.1066
"Feb 21, 16",1.0934,1.1128,1.1137,1.0913
"Feb 28, 16",1.1004,1.0933,1.1045,1.0826
"Mar 6, 16",1.1153,1.1009,1.122,1.0823
"Mar 13, 16",1.127,1.1152,1.1345,1.1058
"Mar 20, 16",1.1166,1.1271,1.1287,1.1145
"Mar 27, 16",1.1387,1.1162,1.1439,1.1153
"Apr 3, 16",1.1401,1.1394,1.1456,1.1327
"Apr 10, 16",1.1283,1.1408,1.1467,1.1235
"Apr 17, 16",1.1234,1.1299,1.1398,1.122
"Apr 24, 16",1.1456,1.123,1.1461,1.1215
"May 1, 16",1.1405,1.1447,1.1617,1.1387
"May 8, 16",1.1308,1.1402,1.1449,1.1284
"May 15, 16",1.1224,1.1309,1.1349,1.118
"May 22, 16",1.1115,1.1216,1.1244,1.1107
"May 29, 16",1.1367,1.1116,1.1377,1.1098
"Jun 5, 16",1.1251,1.1351,1.1417,1.1245
"Jun 12, 16",1.1277,1.1254,1.1305,1.1132
"Jun 19, 16",1.1117,1.1283,1.1434,1.0911
"Jun 26, 16",1.1136,1.1069,1.1169,1.0969
"Jul 3, 16",1.1055,1.1142,1.1185,1.1001
"Jul 10, 16",1.1036,1.1052,1.1166,1.1016
"Jul 17, 16",1.0976,1.1042,1.1087,1.0954
"Jul 24, 16",1.1174,1.0972,1.12,1.0954
"Jul 31, 16",1.1085,1.1174,1.1234,1.1043
"Aug 7, 16",1.1161,1.1088,1.1224,1.107
"Aug 14, 16",1.1326,1.1162,1.1366,1.1153
"Aug 21, 16",1.1198,1.1305,1.1357,1.118
"Aug 28, 16",1.1156,1.1194,1.1254,1.1124
"Sep 4, 16",1.1233,1.1153,1.1329,1.114
"Sep 11, 16",1.1155,1.1232,1.1285,1.1147
"Sep 18, 16",1.1226,1.1164,1.1261,1.1123
"Sep 25, 16",1.1241,1.1224,1.1281,1.1153
"Oct 2, 16",1.1201,1.1235,1.1245,1.1103
"Oct 9, 16",1.0971,1.1197,1.1203,1.0968
"Oct 16, 16",1.0884,1.0974,1.1041,1.0859
"Oct 23, 16",1.0987,1.088,1.0995,1.0852
"Oct 30, 16",1.1138,1.0987,1.1146,1.0937
"Nov 6, 16",1.0856,1.114,1.1305,1.0833
"Nov 13, 16",1.0588,1.085,1.0852,1.057
"Nov 20, 16",1.0587,1.0584,1.0661,1.0518
"Nov 27, 16",1.0673,1.0596,1.0692,1.0554
"Dec 4, 16",1.0562,1.0675,1.0875,1.0506
"Dec 11, 16",1.0451,1.0554,1.0673,1.0368
"Dec 18, 16",1.0456,1.0445,1.0501,1.0353
"Dec 25, 16",1.0516,1.0454,1.0654,1.0372
